#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
304127812,-22,3,1008,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
304168272,-24,4,1008,-315,-752,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
304209036,-25,4,1008,-280,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
304249441,-23,3,1009,-262,-735,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
304290256,-23,3,1008,-297,-752,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
304330663,-22,1,1008,-297,-770,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
304371478,-22,3,1008,-297,-752,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
304411888,-24,4,1008,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
304452653,-24,3,1008,-315,-752,-140,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
304493570,-23,3,1009,-297,-752,-157,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
304533892,-23,3,1008,-297,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
304574807,-22,3,1008,-297,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
304615126,-23,2,1008,-297,-735,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
304655892,-24,4,1008,-315,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
304696345,-23,3,1008,-297,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
304737107,-23,3,1009,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
